MerchantKey,MerchantName,Category
1,Kim LLC Co,travel
2,Calhoun-Wyatt Ltd,personal_care
3,"Moon, Kaufman and Buchanan Ltd",personal_care
4,Nguyen Inc Co,travel
5,"Silva, Hill and Bradley Inc",health_fitness
6,"Warren, Benson and Reid Co",home
7,"Lowe, Ramirez and Harper LLC",misc_pos
8,Mendoza-Lewis Ltd,kids_pets
9,Jarvis Ltd LLC,home
10,James Group LLC,gas_transport
11,Harris Ltd Co,shopping_net
12,Vasquez PLC Co,food_dining
13,Bowman Group Inc,shopping_pos
14,Hoover-Stephens LLC,kids_pets
15,"Maddox, Perez and Watkins LLC",personal_care
16,Gutierrez-Dudley LLC,food_dining
17,Wood Group Ltd,misc_pos
18,"Mendez, Williams and Henry Ltd",misc_net
19,Saunders-Hernandez Co,misc_net
20,Perez-Wallace Inc,shopping_pos
21,Hunter-Sanchez Co,travel
22,"Jenkins, Smith and Anderson Co",personal_care
23,Pham Inc Ltd,food_dining
24,Abbott-Brown LLC,shopping_pos
25,"Cannon, Vasquez and Caldwell LLC",travel
26,"Ward, Perez and Baker Co",personal_care
27,Nguyen LLC LLC,misc_pos
28,Herrera Ltd Co,home
29,Fuller Ltd Inc,personal_care
30,Stephens-Miller Inc,food_dining
31,"Rodriguez, Smith and Johnson Ltd",personal_care
32,"Moore, George and Roberts LLC",kids_pets
33,Olsen Group Co,misc_pos
34,Thomas-Bryant LLC,misc_pos
35,Parrish PLC Inc,shopping_pos
36,Dixon Inc Inc,misc_pos
37,Woods-Arellano Co,health_fitness
38,"Leon, Hale and Winters Ltd",shopping_pos
39,Johnson Inc LLC,food_dining
40,"Adams, Moreno and Turner Inc",kids_pets
41,Harrell Group Ltd,personal_care
42,Solis-Nichols Inc,gas_transport
43,Medina-Thomas Inc,entertainment
44,"Sandoval, Long and Ray Co",personal_care
45,Summers Group LLC,entertainment
46,Morris PLC Inc,entertainment
47,"Meyer, Wilson and Sharp Inc",entertainment
48,"Carlson, Norton and Estrada Ltd",shopping_pos
49,Maddox Ltd Inc,misc_pos
50,"Keith, Hicks and Calderon LLC",shopping_pos
51,Gregory-Johnson LLC,misc_net
52,Bell-Scott Inc,food_dining
53,Rodriguez Ltd Ltd,misc_net
54,"Scott, Gonzalez and Hurst Co",food_dining
55,Perez-Brown Inc,kids_pets
56,Frye-Washington Ltd,entertainment
57,"Garner, Maldonado and Johnson Co",home
58,Phillips Inc Co,misc_net
59,Griffin PLC Ltd,personal_care
60,Mooney PLC Inc,personal_care
61,Russell-Carpenter Inc,misc_net
62,"Zamora, Bridges and Robinson Ltd",kids_pets
63,Stewart Ltd Inc,grocery
64,"Schultz, Weaver and Lara Ltd",gas_transport
65,Aguilar Inc LLC,entertainment
66,Cunningham-Carroll LLC,grocery
67,"Welch, King and Adams Inc",shopping_pos
68,"Flores, Hughes and Walters LLC",travel
69,"Carrillo, Henderson and Matthews Co",kids_pets
70,May-Foster Ltd,entertainment
71,Butler-Johnson Ltd,kids_pets
72,"Smith, Kelly and Oliver Co",health_fitness
73,"Wilson, Black and Thompson Co",shopping_net
74,Bailey LLC LLC,gas_transport
75,"Jacobs, Guerrero and Berry Co",shopping_pos
76,James-Rogers Co,entertainment
77,Cook LLC LLC,shopping_net
78,"Barber, Brooks and Cole Ltd",shopping_net
79,Martinez-Bennett Co,personal_care
80,Lopez Ltd Co,personal_care
81,Smith-Harper LLC,personal_care
82,Davis LLC Co,home
83,Martin-Anderson LLC,health_fitness
84,Harris-Phillips Ltd,misc_net
85,Norris Inc LLC,entertainment
86,Harris-Rodriguez Ltd,food_dining
87,Chavez-Wilson LLC,travel
88,"Campbell, Gibbs and Henderson Ltd",travel
89,Martin PLC LLC,gas_transport
90,Tate and Sons Co,travel
91,Molina-Hensley Co,grocery
92,Williams PLC LLC,misc_net
93,Clark-Patterson Ltd,entertainment
94,Hughes-Pitts Ltd,travel
95,"Neal, Nelson and Johnson Co",personal_care
96,Johnson-Graham Inc,kids_pets
97,"Pacheco, Brooks and Myers Inc",travel
98,Robinson and Sons Co,misc_net
99,"Parks, Marquez and Tran Ltd",travel
100,"Meyers, Ward and Brown LLC",misc_pos
101,"Conley, Graham and Crane LLC",home
102,Singh Ltd LLC,health_fitness
103,"Fritz, Jones and Martin Ltd",health_fitness
104,Elliott-Zamora Ltd,travel
105,Cole and Sons Ltd,food_dining
106,Valencia and Sons LLC,shopping_pos
107,Miller Ltd LLC,health_fitness
108,Hodge and Sons LLC,kids_pets
109,Cruz and Sons Ltd,kids_pets
110,"Fitzpatrick, Harris and Wolf Inc",shopping_net
111,Simon and Sons Inc,misc_pos
112,Johnston LLC LLC,grocery
113,"Allison, Williams and Cox Inc",shopping_net
114,Compton-Morgan LLC,home
115,Francis Group Inc,personal_care
116,Day Ltd Ltd,misc_pos
117,Ward-Reynolds LLC,personal_care
118,Arroyo-Price Inc,grocery
119,Guzman-Martin Ltd,gas_transport
120,Moreno Group LLC,grocery
121,Hawkins-Dixon Inc,food_dining
122,Conrad-Turner LLC,kids_pets
123,"Love, Anderson and Brown Ltd",misc_pos
124,"Peterson, Chen and Garner LLC",personal_care
125,Turner-Clark Co,misc_net
126,"Smith, Leon and Wagner Ltd",gas_transport
127,Jones LLC Co,gas_transport
128,Jones-White Inc,travel
129,"Johnson, Jones and Miller Co",entertainment
130,Williams and Sons Inc,shopping_net
131,"Gutierrez, Castro and Hall LLC",grocery
132,Garcia and Sons Co,shopping_net
133,Taylor Ltd Co,food_dining
134,Moon Ltd LLC,misc_net
135,"Palmer, Edwards and Bullock LLC",misc_net
136,"Reyes, Moore and Wallace Inc",health_fitness
137,Mendez-Tyler Co,travel
138,Holt LLC LLC,shopping_net
139,Bryant-Gonzalez LLC,misc_pos
140,"Mitchell, Johnson and Morrison Inc",health_fitness
141,"Roman, Stark and Turner Co",health_fitness
142,Barber-Fernandez Ltd,shopping_pos
143,Hunter-Heath LLC,grocery
144,"Brown, Hammond and Campbell Inc",misc_pos
145,"Farmer, Miller and Marshall Inc",entertainment
146,Wright-Hughes Co,misc_pos
147,Mcdaniel Inc Inc,travel
148,Williams-White Co,home
149,"Gonzalez, Cochran and Lopez Ltd",misc_net
